delay,freq,expectation,textbox.text,,,,,
0.4,1000,exp,500,,,Mean of Expected Trials,,249.59
0.1,1000,exp,200,,,Mean of Unexpected Trials,,330.76
0.7,1000,exp,400,,,Difference in Interval Estimates,,81.17
0.7,1000,exp,100,,,,,
0.4,1000,exp,400,,,,,
0.1,1000,exp,400,,,,,
0.4,1000,exp,200,,,,,
0.1,1000,exp,100,,,,,
0.7,1000,exp,700,,,,,
0.4,1000,exp,400,,,,,
0.4,1000,exp,300,,,,,
0.4,1000,exp,300,,,,,
0.7,1000,exp,500,,,,,
0.7,1000,exp,200,,,,,
0.1,1000,exp,400,,,,,
0.7,1000,exp,100,,,,,
0.1,1000,exp,100,,,,,
0.1,1000,exp,100,,,,,
0.1,1000,exp,100,,,,,
0.1,1000,exp,100,,,,,
0.7,1000,exp,500,,,,,
0.1,1000,exp,200,,,,,
0.4,1000,exp,100,,,,,
0.4,1000,exp,400,,,,,
0.4,1000,exp,100,,,,,
0.7,1000,exp,400,,,,,
0.7,1000,exp,700,,,,,
0.1,1000,exp,100,,,,,
0.7,1000,exp,400,,,,,
0.1,1000,exp,100,,,,,
0.4,1000,exp,200,,,,,
0.4,1000,exp,500,,,,,
0.7,1000,exp,700,,,,,
0.4,1000,exp,200,,,,,
0.1,1000,exp,100,,,,,
0.7,1000,exp,100,,,,,
0.4,1000,exp,100,,,,,
0.4,1000,exp,100,,,,,
0.1,1000,exp,200,,,,,
0.1,1000,exp,100,,,,,
0.1,1000,exp,200,,,,,
0.7,1000,exp,400,,,,,
0.7,1000,exp,700,,,,,
0.4,1000,exp,400,,,,,
0.7,1000,exp,400,,,,,
0.1,1000,exp,200,,,,,
0.4,1000,exp,200,,,,,
0.7,1000,exp,600,,,,,
0.4,1000,exp,400,,,,,
0.1,1000,exp,200,,,,,
0.1,1000,exp,100,,,,,
0.4,1000,exp,200,,,,,
0.7,1000,exp,200,,,,,
0.7,1000,exp,400,,,,,
0.1,1000,exp,200,,,,,
0.7,1000,exp,100,,,,,
0.1,1000,exp,100,,,,,
0.7,1000,exp,400,,,,,
0.4,1000,exp,200,,,,,
0.7,1000,exp,500,,,,,
0.1,1000,exp,400,,,,,
0.4,1000,exp,400,,,,,
0.4,1000,exp,400,,,,,
0.1,1000,exp,100,,,,,
0.4,1000,exp,100,,,,,
0.4,1000,exp,300,,,,,
0.7,1000,exp,200,,,,,
0.7,1000,exp,400,,,,,
0.1,1000,exp,200,,,,,
0.4,1000,exp,100,,,,,
0.7,1000,exp,300,,,,,
0.1,1000,exp,200,,,,,
0.7,1000,exp,600,,,,,
0.4,1000,exp,200,,,,,
0.7,1000,exp,400,,,,,
0.4,1000,exp,200,,,,,
0.7,1000,exp,400,,,,,
0.4,1000,exp,300,,,,,
0.1,1000,exp,100,,,,,
0.1,1000,exp,100,,,,,
0.1,1000,exp,200,,,,,
0.7,1000,exp,100,,,,,
0.1,1000,exp,100,,,,,
0.7,1000,exp,200,,,,,
0.1,1000,exp,300,,,,,
0.1,1000,exp,100,,,,,
0.4,1000,exp,400,,,,,
0.4,1000,exp,200,,,,,
0.4,1000,exp,300,,,,,
0.7,1000,exp,600,,,,,
0.4,1000,exp,500,,,,,
0.1,1000,exp,100,,,,,
0.4,1000,exp,80,,,,,
0.4,1000,exp,100,,,,,
0.1,1000,exp,350,,,,,
0.7,1000,exp,400,,,,,
0.1,1000,exp,100,,,,,
0.7,1000,exp,230,,,,,
0.7,1000,exp,120,,,,,
0.4,1000,exp,450,,,,,
0.4,1000,exp,550,,,,,
0.4,1000,exp,220,,,,,
0.7,1000,exp,380,,,,,
0.1,1000,exp,250,,,,,
0.1,1000,exp,400,,,,,
0.7,1000,exp,500,,,,,
0.7,1000,exp,600,,,,,
0.1,1000,exp,150,,,,,
0.1,1000,exp,200,,,,,
0.7,1000,exp,400,,,,,
0.4,1000,exp,200,,,,,
0.4,1000,exp,260,,,,,
0.1,1000,exp,240,,,,,
0.4,1000,exp,200,,,,,
0.7,1000,exp,400,,,,,
0.7,1000,exp,700,,,,,
0.1,1000,exp,200,,,,,
0.4,1000,exp,300,,,,,
0.4,1000,exp,100,,,,,
0.1,1000,exp,200,,,,,
0.4,1000,exp,80,,,,,
0.7,1000,exp,200,,,,,
0.7,1000,exp,500,,,,,
0.7,1000,exp,180,,,,,
0.1,1000,exp,300,,,,,
0.1,1000,exp,200,,,,,
0.1,1000,exp,85,,,,,
0.7,1000,exp,600,,,,,
0.1,1000,exp,120,,,,,
0.4,1000,exp,200,,,,,
0.7,1000,exp,350,,,,,
0.4,1000,exp,360,,,,,
0.4,1000,exp,500,,,,,
0.1,1000,exp,200,,,,,
0.7,1000,exp,370,,,,,
0.4,1000,exp,120,,,,,
0.7,1000,exp,300,,,,,
0.4,1000,exp,200,,,,,
0.1,1000,exp,130,,,,,
0.4,1000,exp,250,,,,,
0.1,1000,exp,160,,,,,
0.7,1000,exp,400,,,,,
0.1,1000,exp,340,,,,,
0.7,1000,exp,600,,,,,
0.7,1000,exp,550,,,,,
0.1,1000,exp,190,,,,,
0.4,1000,exp,200,,,,,
0.4,1000,exp,140,,,,,
0.7,1000,exp,350,,,,,
0.7,1000,exp,370,,,,,
0.1,1000,exp,100,,,,,
0.1,1000,exp,105,,,,,
0.4,1000,exp,160,,,,,
0.4,1000,exp,240,,,,,
0.7,1000,exp,450,,,,,
0.4,1000,exp,390,,,,,
0.4,1000,exp,100,,,,,
0.7,1000,exp,200,,,,,
0.1,1000,exp,100,,,,,
0.7,1000,exp,110,,,,,
0.1,1000,exp,130,,,,,
0.1,1000,exp,200,,,,,
0.1,1000,exp,86,,,,,
0.1,1000,exp,79,,,,,
0.4,1000,exp,84,,,,,
0.7,1000,exp,235,,,,,
0.4,1000,exp,126,,,,,
0.7,1000,exp,228,,,,,
0.4,1000,exp,139,,,,,
0.1,1000,exp,100,,,,,
0.7,1000,exp,385,,,,,
0.7,1000,exp,129,,,,,
0.1,1000,exp,239,,,,,
0.7,1000,exp,459,,,,,
0.1,1000,exp,234,,,,,
0.1,1000,exp,123,,,,,
0.4,1000,exp,195,,,,,
0.7,1000,exp,145,,,,,
0.4,1000,exp,369,,,,,
0.4,1000,exp,230,,,,,
0.1,1000,exp,97,,,,,
0.7,1000,exp,111,,,,,
0.4,1000,exp,350,,,,,
0.4,1000,exp,126,,,,,
0.7,1000,exp,698,,,,,
0.4,1000,exp,456,,,,,
0.1,1000,exp,109,,,,,
0.1,1000,exp,287,,,,,
0.7,1000,exp,300,,,,,
0.7,1000,exp,600,,,,,
0.7,1000,exp,300,,,,,
0.1,1000,exp,200,,,,,
0.4,1000,exp,230,,,,,
0.1,1000,exp,104,,,,,
0.4,1000,exp,194,,,,,
0.4,1000,exp,236,,,,,
0.1,1000,exp,356,,,,,
0.7,1000,exp,365,,,,,
0.1,1000,exp,156,,,,,
0.4,1000,exp,125,,,,,
0.7,1000,exp,589,,,,,
0.7,1000,exp,230,,,,,
0.7,1000,exp,560,,,,,
0.4,1000,exp,120,,,,,
0.1,1000,exp,398,,,,,
0.1,1000,exp,120,,,,,
0.4,1000,exp,98,,,,,
0.7,1000,exp,400,,,,,
0.4,1000,exp,120,,,,,
0.1,1000,exp,92,,,,,
0.7,1000,exp,130,,,,,
0.1,1000,exp,125,,,,,
0.4,1000,exp,122,,,,,
0.7,1000,exp,230,,,,,
0.4,1000,exp,102,,,,,
0.1,1000,exp,87,,,,,
0.7,1000,exp,98,,,,,
0.4,1000,exp,85,,,,,
0.1,1000,exp,93,,,,,
0.1,1000,exp,45,,,,,
0.4,1000,exp,300,,,,,
0.4,1000,exp,200,,,,,
0.1,1000,exp,300,,,,,
0.7,1000,exp,500,,,,,
0.7,1000,exp,600,,,,,
0.7,1000,exp,200,,,,,
0.4,1000,exp,100,,,,,
0.4,1000,exp,300,,,,,
0.1,1000,exp,400,,,,,
0.7,1000,exp,300,,,,,
0.1,1000,exp,400,,,,,
0.1,1000,exp,100,,,,,
0.7,1000,exp,400,,,,,
0.4,1000,exp,200,,,,,
0.4,1000,exp,300,,,,,
0.4,1000,exp,300,,,,,
0.1,1000,exp,92,,,,,
0.4,1000,exp,95,,,,,
0.7,1000,exp,198,,,,,
0.7,1000,exp,230,,,,,
0.1,1000,exp,94,,,,,
0.7,1000,exp,369,,,,,
0.1,1000,exp,300,,,,,
0.4,1000,exp,298,,,,,
0.4,1000,exp,367,,,,,
0.7,1000,exp,459,,,,,
0.7,1000,exp,268,,,,,
0.4,1000,exp,230,,,,,
0.1,1000,exp,128,,,,,
0.1,1000,exp,96,,,,,
0.1,1000,exp,129,,,,,
0.7,1000,exp,379,,,,,
0.7,1000,exp,378,,,,,
0.4,1000,exp,159,,,,,
0.1,1000,exp,378,,,,,
0.1,1000,exp,87,,,,,
0.4,1000,exp,379,,,,,
0.4,1000,exp,378,,,,,
0.7,1000,exp,398,,,,,
0.7,1000,exp,256,,,,,
0.1,1000,exp,234,,,,,
0.1,1000,exp,129,,,,,
0.1,1000,exp,97,,,,,
0.4,1000,exp,239,,,,,
0.4,1000,exp,93,,,,,
0.1,1000,exp,100,,,,,
0.7,1000,exp,149,,,,,
0.7,1000,exp,96,,,,,
0.7,1000,exp,150,,,,,
0.4,1000,exp,170,,,,,
0.7,1000,exp,230,,,,,
0.1,1000,exp,95,,,,,
0.7,1000,exp,200,,,,,
0.4,1000,exp,176,,,,,
0.1,1000,exp,95,,,,,
0.1,1000,exp,86,,,,,
0.4,1000,exp,85,,,,,
0.4,1000,exp,86,,,,,
0.7,1000,exp,190,,,,,
0.7,1000,exp,260,,,,,
0.7,1000,exp,666,,,,,
0.4,1000,exp,450,,,,,
0.1,1000,exp,129,,,,,
0.4,1000,exp,234,,,,,
0.1,1000,exp,345,,,,,
0.1,1000,exp,196,,,,,
0.4,1000,exp,105,,,,,
0.7,1000,exp,110,,,,,
0.4,1000,exp,150,,,,,
0.1,1000,exp,87,,,,,
0.7,1000,exp,75,,,,,
0.4,1000,exp,97,,,,,
0.7,1000,exp,120,,,,,
0.4,1000,exp,98,,,,,
0.1,1000,exp,85,,,,,
0.7,1000,exp,89,,,,,
0.1,1000,exp,98,,,,,
0.7,1000,exp,87,,,,,
0.7,1000,exp,650,,,,,
0.1,1000,exp,230,,,,,
0.1,1000,exp,180,,,,,
0.4,1000,exp,93,,,,,
0.4,1000,exp,95,,,,,
0.4,1000,exp,98,,,,,
0.7,1000,exp,230,,,,,
0.1,1000,exp,135,,,,,
0.4,400,unexp,700,,,,,
0.7,400,unexp,700,,,,,
0.1,400,unexp,400,,,,,
0.1,400,unexp,400,,,,,
0.4,400,unexp,700,,,,,
0.7,400,unexp,700,,,,,
0.7,400,unexp,400,,,,,
0.1,400,unexp,200,,,,,
0.4,400,unexp,200,,,,,
0.4,400,unexp,500,,,,,
0.7,400,unexp,700,,,,,
0.1,400,unexp,200,,,,,
0.1,400,unexp,200,,,,,
0.4,400,unexp,300,,,,,
0.7,400,unexp,400,,,,,
0.4,400,unexp,400,,,,,
0.1,400,unexp,200,,,,,
0.7,400,unexp,600,,,,,
0.4,400,unexp,200,,,,,
0.7,400,unexp,700,,,,,
0.1,400,unexp,200,,,,,
0.7,400,unexp,700,,,,,
0.4,400,unexp,200,,,,,
0.1,400,unexp,500,,,,,
0.7,400,unexp,700,,,,,
0.1,400,unexp,100,,,,,
0.4,400,unexp,200,,,,,
0.7,400,unexp,400,,,,,
0.1,400,unexp,400,,,,,
0.4,400,unexp,200,,,,,
0.7,400,unexp,600,,,,,
0.4,400,unexp,450,,,,,
0.1,400,unexp,220,,,,,
0.1,400,unexp,120,,,,,
0.4,400,unexp,340,,,,,
0.7,400,unexp,800,,,,,
0.4,400,unexp,450,,,,,
0.1,400,unexp,400,,,,,
0.7,400,unexp,100,,,,,
0.4,400,unexp,350,,,,,
0.7,400,unexp,600,,,,,
0.1,400,unexp,200,,,,,
0.4,400,unexp,95,,,,,
0.7,400,unexp,600,,,,,
0.1,400,unexp,86,,,,,
0.7,400,unexp,200,,,,,
0.4,400,unexp,380,,,,,
0.1,400,unexp,95,,,,,
0.4,400,unexp,350,,,,,
0.1,400,unexp,98,,,,,
0.7,400,unexp,650,,,,,
0.7,400,unexp,660,,,,,
0.4,400,unexp,200,,,,,
0.1,400,unexp,85,,,,,
0.4,400,unexp,386,,,,,
0.7,400,unexp,285,,,,,
0.1,400,unexp,94,,,,,
0.4,400,unexp,195,,,,,
0.1,400,unexp,198,,,,,
0.7,400,unexp,666,,,,,
0.1,400,unexp,123,,,,,
0.4,400,unexp,356,,,,,
0.7,400,unexp,555,,,,,
0.1,400,unexp,93,,,,,
0.4,400,unexp,509,,,,,
0.7,400,unexp,395,,,,,
0.7,400,unexp,450,,,,,
0.4,400,unexp,93,,,,,
0.1,400,unexp,100,,,,,
0.7,400,unexp,379,,,,,
0.1,400,unexp,398,,,,,
0.4,400,unexp,92,,,,,
0.7,400,unexp,97,,,,,
0.1,400,unexp,79,,,,,
0.4,400,unexp,300,,,,,
0.4,400,unexp,200,,,,,
0.7,400,unexp,600,,,,,
0.1,400,unexp,300,,,,,
0.4,400,unexp,200,,,,,
0.7,400,unexp,598,,,,,
0.1,400,unexp,99,,,,,
0.7,400,unexp,369,,,,,
0.4,400,unexp,239,,,,,
0.1,400,unexp,149,,,,,
0.4,400,unexp,239,,,,,
0.1,400,unexp,349,,,,,
0.7,400,unexp,495,,,,,
0.4,400,unexp,345,,,,,
0.7,400,unexp,345,,,,,
0.1,400,unexp,93,,,,,
0.4,400,unexp,260,,,,,
0.7,400,unexp,357,,,,,
0.1,400,unexp,85,,,,,
0.7,400,unexp,596,,,,,
0.1,400,unexp,123,,,,,
0.4,400,unexp,109,,,,,
0.1,400,unexp,97,,,,,
0.4,400,unexp,85,,,,,
0.7,400,unexp,93,,,,,
0.4,400,unexp,96,,,,,
0.7,400,unexp,689,,,,,
0.1,400,unexp,156,,,,,
